08:50:44 INFO src.agents.options_income: MCP quote source ready (72 tools)
08:50:44 INFO run_live: pre-market 08:50 ET, waiting for 09:30
08:51:14 INFO run_live: pre-market 08:51 ET, waiting for 09:30
08:51:44 INFO run_live: pre-market 08:51 ET, waiting for 09:30
08:52:14 INFO run_live: pre-market 08:52 ET, waiting for 09:30
08:52:44 INFO run_live: pre-market 08:52 ET, waiting for 09:30
08:53:14 INFO run_live: pre-market 08:53 ET, waiting for 09:30
08:53:44 INFO run_live: pre-market 08:53 ET, waiting for 09:30
08:54:14 INFO run_live: pre-market 08:54 ET, waiting for 09:30
08:54:44 INFO run_live: pre-market 08:54 ET, waiting for 09:30
08:55:14 INFO run_live: pre-market 08:55 ET, waiting for 09:30
08:55:44 INFO run_live: pre-market 08:55 ET, waiting for 09:30
